episode_length,P09:episode_rewards,value_loss,P01:episode_rewards,epoch_idx,policy_loss,explained_variance,frames,fps,grad_norm,policy_entropy,PMM:episode_rewards,advantage_norm
579.88,21.0,0.023962830523960293,9.0,152,-0.008940982321219053,0.7205829435586929,1216000,346,0.6718778832878017,1.1126556038856505,14.69,1.8961848920583726
598.14,22.0,0.028929711994715036,9.9,153,-0.01183135710285569,0.7020084923505783,1224000,346,0.7099387519980396,1.0318944317102432,15.32,2.0811447286605835
597.04,22.0,0.024231011574156584,10.0,154,-0.006022254471317865,0.7272395950555801,1232000,345,0.7131502291344971,1.105743418931961,15.43,1.9140633273124694
599.76,22.0,0.027758336421102286,10.0,155,-0.010455363350047264,0.6968778318166733,1240000,345,0.6511484660962209,1.1179821169376374,15.59,2.0407075226306914
604.91,23.10000000000001,0.032536390949971974,10.0,156,-0.009874988133087754,0.6460830903053284,1248000,345,0.8139301546933264,1.084849402308464,16.13,2.1991656947135927
606.0,23.10000000000001,0.026231625648215413,10.0,157,-0.009976998956408351,0.7327377051115036,1256000,345,0.7353925868295527,1.0868134540319443,16.28,1.9713287436962128
622.77,25.0,0.029788282793015243,10.0,158,-0.009661417740862816,0.7208758443593979,1264000,345,0.7563974475449682,1.1001111245155335,16.99,2.1078609132766726
642.51,25.0,0.025022553009912372,11.0,159,-0.006142765247641364,0.7088470387458802,1272000,345,0.6913165543847647,1.1070010823011398,17.88,1.9529946041107178
657.14,26.10000000000001,0.025318477167747915,11.0,160,-0.006219869360029407,0.7358541375398636,1280000,344,0.6427124544133878,1.1279876101017,18.64,1.958222200870514
647.35,27.10000000000001,0.028822640078142284,10.9,161,-0.00936522746575065,0.7095669823884964,1288000,344,0.6971315018152607,1.1004733741283417,18.76,2.08547110080719
646.78,28.0,0.02608871703967452,10.0,162,-0.0063538916276593225,0.7605002301931382,1296000,344,0.6388515556675071,1.1333620584011077,18.85,1.9874027693271636
649.32,28.0,0.02733916015829891,10.0,163,-0.0028391354160703488,0.6988815277814865,1304000,344,0.6329994118546439,1.140704762339592,18.74,2.0246762216091154
646.08,27.10000000000001,0.02760384587571025,11.0,164,-0.010240604770369827,0.690744224190712,1312000,344,0.6958710407663514,1.12644296169281,18.91,2.029217929840088
670.23,30.10000000000001,0.03413021098822355,12.0,165,-0.01999603284697514,0.6815980356931687,1320000,344,0.8289327572832532,1.0774489271640777,19.96,2.239403145313263
670.35,31.0,0.030153770046308637,12.0,166,-0.008322504412499257,0.7285032695531846,1328000,344,0.7856044845475152,1.0678824788331986,20.17,2.127597110271454
654.41,31.0,0.02944717143662274,9.9,167,-0.004179146058158949,0.699941833615303,1336000,344,0.6855809080321432,1.0485508459806443,19.61,2.094386793375015
658.04,31.0,0.029620749540627003,9.0,168,-0.01196648648372502,0.7157270461320877,1344000,344,0.7089892037869658,1.0819774794578552,19.78,2.0897120988368987
666.43,31.0,0.025648700343444943,10.0,169,-0.00984550071763806,0.7384135890007019,1352000,343,0.6397241278658078,1.0883044922351837,19.89,1.961403579711914
674.78,31.10000000000001,0.03045236411038786,10.9,170,-0.010476911666919476,0.725050830245018,1360000,343,0.6820730427195043,1.0655851221084596,19.98,2.113258513212204
