fps,value_loss,explained_variance,policy_entropy,policy_loss,P09:episode_rewards,grad_norm,PMM:episode_rewards,epoch_idx,advantage_norm,episode_length,P01:episode_rewards,frames
487,0.017301589506678282,0.8137128400802612,1.1814510691165925,0.0009960141440387815,15.100000000000009,0.44706965399448073,9.81,121,1.6221417891979217,430.58,4.9,968000
487,0.01753032572567463,0.804720379114151,1.1644328463077545,-0.0031460938636155332,15.0,0.4545065289277558,9.84,122,1.6361111116409301,429.97,4.9,976000
487,0.014974463423714042,0.8184587383270263,1.165388559103012,-0.004428734255488962,15.0,0.4067321295473253,9.53,123,1.505820164680481,420.09,4.0,984000
487,0.017485902728512883,0.8161253875494003,1.1648960292339325,-0.004205257171415724,15.100000000000009,0.4528400988511991,9.42,124,1.6335223317146301,421.31,4.0,992000
488,0.021081551779061555,0.7646757090091705,1.1412724238634109,-0.002454864672909025,16.0,0.49234553614021154,9.95,125,1.7946607339382172,434.29,5.0,1000000
488,0.016681852450128643,0.8222404760122299,1.150317951440811,-0.0053863811068004,16.0,0.43037571439801,10.18,126,1.5884816390275955,442.84,5.0,1008000
488,0.018756772242486477,0.8109304487705231,1.153732123374939,-0.005497561326774303,16.0,0.4913008077681923,10.5,127,1.6825321012735366,454.33,5.0,1016000
488,0.022332971785217523,0.7646019285917283,1.1550866568088531,-0.008625807886128314,16.0,0.5042860417103091,10.79,128,1.8450018215179442,465.01,6.0,1024000
488,0.02220947178080678,0.7697585588693618,1.123904254436493,-0.008029890553370934,16.0,0.5151541393228637,11.05,129,1.8471989166736602,465.85,6.0,1032000
489,0.023242169627919793,0.7711214786767959,1.139415030479431,-0.008329269993118942,16.0,0.5166777562312365,11.01,130,1.8415763491392136,467.35,6.0,1040000
489,0.018724577226676045,0.809485769867897,1.1447097969055176,-0.004819227948319167,16.0,0.4448995921585668,10.81,131,1.673575319647789,464.45,6.0,1048000
489,0.02203955954872072,0.7762544286251069,1.1558801341056824,-0.005420153639170167,18.0,0.5040576745704591,11.33,132,1.8426322042942047,474.31,6.0,1056000
489,0.0228861271077767,0.7534107953310013,1.1460237622261047,-0.004082267046651395,18.10000000000001,0.5145648392627087,11.71,133,1.8475626504421234,482.64,6.9,1064000
489,0.021296502039767802,0.8016135424375535,1.145693678855896,-0.003016271967062494,19.0,0.5206782749873515,12.06,134,1.8114476305246354,489.79,6.9,1072000
490,0.020926805008202792,0.7742353719472885,1.1314335501194,-0.0054739089026406874,19.0,0.5055978220251286,12.2,135,1.7921465921401978,495.77,7.0,1080000
490,0.016781740193255245,0.7249179011583329,1.020243182182312,-0.006478790504843346,18.10000000000001,0.48522105793992715,11.03,136,1.5628936517238616,455.25,1.0,1088000
490,0.01924999780487269,0.7835559535026551,1.1386552202701568,-0.005508083606255241,18.0,0.49907183379685466,10.62,137,1.7085493516921997,446.87,1.0,1096000
490,0.01949288841802627,0.7915329408645629,1.147067586183548,-0.004772889271989698,17.0,0.48774900285161293,10.0,138,1.7151514357328415,431.71,1.0,1104000
490,0.020652175522409378,0.7705814814567566,1.1364753276109696,-0.0029837511156438267,18.0,0.5013540051168816,10.22,139,1.778466091156006,432.3,1.0,1112000
490,0.023915184028446675,0.7435358691215516,1.172053166627884,-0.005093582850531675,18.10000000000001,0.5371766266697029,10.6,140,1.9001150596141816,441.72,1.0,1120000
490,0.01997494020033628,0.7711339962482452,1.1563352978229522,-0.003661289543379098,19.10000000000001,0.4750033273574274,10.92,141,1.7373406374454499,447.02,1.9000000000000004,1128000
491,0.021488235271535813,0.7693069213628769,1.154600550532341,-0.011019620016217004,20.200000000000017,0.5063387358758346,12.38,142,1.7885361021757127,489.98,6.0,1136000
491,0.022957788347266615,0.7469610542058944,1.145026200413704,-0.0032595950379618443,23.0,0.5377439305801522,13.4,143,1.865561900138855,513.7,7.0,1144000
491,0.019712776085361837,0.7798509800434112,1.1554893285036087,-0.0013593249813857256,22.10000000000001,0.47828104947908323,13.34,144,1.7218188434839248,517.68,7.0,1152000
491,0.026225508130155503,0.6909345865249634,1.13195089077577,-0.009588943632334122,20.200000000000017,0.5589933861013068,13.2,145,1.9714499378204347,514.03,7.0,1160000
491,0.02183938925503753,0.5649393653869629,1.1431655338965356,-0.004764759885147214,19.0,0.5070598051923867,10.94,146,1.7371691939234735,457.27,4.0,1168000
491,0.020868636458180843,0.780425164103508,1.1912490272521972,-0.008210023017600179,18.10000000000001,0.485622070535534,10.86,147,1.7746837639808655,454.7,4.0,1176000
492,0.020943042156286538,0.781869785785675,1.1724764919281006,-0.0016373388888314367,17.0,0.4826840938949513,10.39,148,1.7832555019855498,454.11,4.0,1184000
492,0.019912956554908306,0.7934040570259094,1.201904492378235,-0.0009218169502855744,17.0,0.4655180409159062,10.45,149,1.7363041871786118,444.45,4.0,1192000
492,0.019324688953347505,0.7938738906383515,1.186949633359909,-0.005115927663282492,15.100000000000009,0.46817584979438714,9.95,150,1.7034570729732514,440.19,4.0,1200000
492,0.024026660062372685,0.7392725223302841,1.1398947077989579,-0.007910487377084791,16.0,0.5414537145999515,10.81,151,1.910460513830185,457.1,5.9,1208000
492,0.022414526981301607,0.747156993150711,1.092745862007141,-0.007137941988767125,17.0,0.5419216762525272,12.18,152,1.8506291866302491,499.15,6.0,1216000
493,0.021011180290952326,0.7159874850511551,1.1584845805168151,-0.002649992977385409,18.0,0.5364959154544767,12.35,153,1.773337562084198,514.37,7.0,1224000
493,0.025951464772224427,0.734056613445282,1.118063622713089,-0.0072386255871970204,18.10000000000001,0.580708037290235,12.63,154,1.9783720457553864,522.35,7.0,1232000
493,0.02345087245106697,0.7629159826040268,1.1262361574172974,-0.006558000311488285,19.0,0.5244615043852143,13.22,155,1.894624447822571,535.12,7.0,1240000
493,0.025730820000171663,0.6935712021589279,1.1317257672548293,-0.0065397347410907965,20.200000000000017,0.5278187883923943,13.56,156,1.9699553489685058,549.17,7.0,1248000
493,0.02359369766432792,0.733351012468338,1.113482913374901,-0.007076615598634817,20.200000000000017,0.5830482457983225,14.17,157,1.89290971159935,561.54,7.9,1256000
493,0.025922350441105663,0.6641464614868164,1.030269727408886,-0.011121093715773895,20.0,0.5830797936964978,12.15,158,1.8964793080091475,503.38,4.0,1264000
