frames,explained_variance,value_loss,policy_loss,advantage_norm,episode_length,fps,P01:episode_rewards,PMM:episode_rewards,grad_norm,policy_entropy,P09:episode_rewards,epoch_idx
1128000,-1.7923140585422517,0.000444151722335846,0.00019757113688683602,0.17244125245139003,171.35,483,0.0,1.12,0.02568029175443482,1.3851802957057953,3.0,141
1136000,-6.52809519648552,0.000844681569280965,0.00021799246574119024,0.24932638805359603,170.85,483,0.0,1.07,0.03869187597656278,1.3857242619991303,3.0,142
1144000,-1.5338626217842102,0.0004494460948626511,-0.0004294946601294214,0.1818955303914845,179.13,483,0.0,1.22,0.027572280371183745,1.3856946098804475,3.0,143
1152000,-2.6051783615350725,0.0005026449086562934,-9.078527189558372e-05,0.18478527277708054,176.76,483,0.0,1.2,0.02925975352776597,1.3847955560684204,3.0,144
1160000,-1.376224462389946,0.0007815059436961746,8.460231081699022e-05,0.2529906264320016,170.99,483,0.0,1.15,0.041625375689165064,1.3841549754142761,3.0,145
1168000,-0.48842738032341004,0.0005440874666601303,0.00024882679332222324,0.210044203735888,176.53,483,0.0,1.25,0.030392861590864108,1.3850770890712738,3.0,146
1176000,-1.4833246493339538,0.00048061643602522966,0.0002170316852425458,0.18125264156609774,178.07,483,0.0,1.26,0.028842148591973822,1.3854965209960937,3.0,147
1184000,-0.22404908120632172,0.0009305723649777064,0.00012321158093982375,0.2904892410337925,181.59,483,0.0,1.35,0.05055755775008373,1.385291473865509,3.1000000000000085,148
1192000,-2.0642388385534285,0.0003870707373334881,-0.0003764841976226307,0.17563340496271848,187.96,484,0.0,1.48,0.023157273543515832,1.3856378626823425,4.0,149
1200000,-1.1374812817573547,0.0002904976795070979,0.00015066552281496116,0.13308361124247312,174.59,484,0.0,1.14,0.019579338268805264,1.3857746708393097,3.0,150
1208000,-2.1274999874830245,0.0008621489427287088,-0.0003716406299645314,0.22943585017696022,172.27,484,0.0,1.1,0.0331516170103563,1.3851838314533234,3.0,151
