episode_length,policy_entropy,grad_norm,explained_variance,P01:episode_rewards,policy_loss,frames,fps,PMM:episode_rewards,epoch_idx,advantage_norm,value_loss,P09:episode_rewards
375.72,1.2305384528636933,0.4541630907073124,0.8196895390748977,2.0,-0.004955908443953376,920000,492,7.09,115,1.6246452099084854,0.018053515027277173,12.100000000000009
358.13,1.2340323185920716,0.42293256128122614,0.8712247061729431,1.0,-0.008210985581681597,928000,492,6.79,116,1.5282087749242783,0.015697259586304427,13.0
372.29,1.1937428522109985,0.4214683146481682,0.8328837871551513,1.0,-0.006127255818573758,936000,493,7.2,117,1.5339586454629899,0.0155594514682889,13.0
363.47,1.2178423362970352,0.398631700476529,0.8296186721324921,0.9000000000000004,-0.002722535901411902,944000,493,6.8,118,1.3529958629608154,0.014010666538961231,12.100000000000009
363.35,1.2574679946899414,0.3680154228967241,0.8677219569683075,0.0,4.9227396375499665e-05,952000,493,6.79,119,1.401492989063263,0.013176544189918786,12.0
365.68,1.2451225161552428,0.4390109148235483,0.8526114332675934,0.0,-0.004245712588271999,960000,493,6.57,120,1.5929456770420074,0.01669692656956613,11.100000000000009
380.18,1.222464723587036,0.45246682030027935,0.8442003256082535,2.0,-0.007710972574350308,968000,493,6.9,121,1.6177049857378005,0.017438302454538642,12.0
376.01,1.2171744012832642,0.4157394010281372,0.8170445048809052,2.0,-0.003041986700700363,976000,494,6.91,122,1.5416427832841872,0.016194054121151567,13.0
401.37,1.2228039610385895,0.5095747605412729,0.8212815374135971,2.0,-0.005363153822254389,984000,494,7.63,123,1.4791174525022506,0.014990649693645537,13.100000000000009
396.91,1.2189019954204559,0.43511933675418385,0.868293634057045,2.0,-0.0013705266224860678,992000,494,7.45,124,1.4958036506175996,0.015012799631804227,13.0
390.74,1.25498859167099,0.4064817570488154,0.8716531991958618,2.0,-0.003795856352080591,1000000,494,7.29,125,1.494194130897522,0.014936297298409045,13.0
388.9,1.2498578882217408,0.390934208450884,0.8553472405672073,2.0,-0.002638845440924342,1008000,494,7.2,126,1.4436247664690018,0.013900566468946636,13.0
372.93,1.20840482711792,0.4181784130517038,0.8483969920873642,2.0,-0.005732969942037016,1016000,495,6.66,127,1.5075795650482178,0.015396301546134054,11.0
368.94,1.2172400271892547,0.4947817911381759,0.7895210695266723,2.0,-0.0047970526065910235,1024000,495,6.64,128,1.715543179512024,0.019307440686970948,11.0
377.71,1.1936102414131164,0.4518690174363579,0.8153248244524002,2.0,-0.0035895189724396916,1032000,495,6.91,129,1.6282404321432113,0.017430942566134037,12.0
387.04,1.2157005453109742,0.45695829513568553,0.7998017346858979,2.9000000000000004,-0.003987337155558634,1040000,495,7.36,130,1.6353517746925355,0.01744007251225412,12.100000000000009
391.18,1.2501416563987733,0.370879978214477,0.8781090384721756,3.0,-0.004296754519455135,1048000,495,7.32,131,1.3839432454109193,0.01292565767886117,12.0
394.21,1.2487325596809387,0.3893214373311342,0.8470064932107926,3.0,-0.0020397517905803397,1056000,495,7.58,132,1.4420967435836791,0.013750973029527814,12.0
417.87,1.2295211553573608,0.44839372470521144,0.8074764943122864,3.9000000000000004,-0.003053554641082883,1064000,496,8.61,133,1.5831379526853562,0.016742908894084394,13.0
423.35,1.2276700127124787,0.45653047263997004,0.7939982545375824,3.0,-0.00567223347039544,1072000,496,8.97,134,1.7152735418081284,0.019829203037079423,14.0
429.09,1.207811871767044,0.4530327469917449,0.7808725661039353,4.0,0.0008118014578940347,1080000,496,9.15,135,1.6663462597131729,0.01827594502363354,14.100000000000009
434.85,1.211217898130417,0.45029539317262285,0.8023620092868805,4.0,-0.005157481496571564,1088000,496,9.61,136,1.6392595356702804,0.01755753604695201,15.0
441.55,1.2473888397216797,0.38840527707512584,0.8456356221437454,4.0,-0.004225158530171029,1096000,496,9.78,137,1.4430716371536254,0.013962440053001046,15.0
448.57,1.2044384109973907,0.4638116283698103,0.783671401143074,4.0,-0.004857611602928955,1104000,496,9.99,138,1.646127832531929,0.018328565743286163,15.0
449.6,1.2041500079631806,0.47198579618538083,0.7896106588840485,4.0,-0.006376537202741019,1112000,496,9.63,139,1.6846317464113236,0.01868809713050723,15.0
442.77,1.2278259491920471,0.5058655948919512,0.7882582885026932,4.0,-0.004208674479741603,1120000,496,9.35,140,1.6461452126502991,0.01802737569436431,15.0
432.35,1.2312430393695832,0.4350271052279726,0.8049501425027847,4.0,-0.001237093370873481,1128000,496,8.85,141,1.5409740978479385,0.016050270702689887,14.0
442.11,1.2240415191650391,0.48397424711496617,0.8002630746364594,4.0,-0.0066370870196260515,1136000,497,9.19,142,1.6782827013731003,0.01878252175170928,15.0
443.86,1.156396751999855,0.5526114594627679,0.7627972531318664,4.0,-0.010408879980677738,1144000,497,9.25,143,1.7915209257602691,0.02415508897509426,15.0
438.45,1.215614708662033,0.49079446698562373,0.7541771227121353,4.0,-0.003114474529866129,1152000,497,9.24,144,1.7803641700744628,0.021012544576078655,15.0
449.83,1.2108675932884216,0.45446645387427786,0.7880869472026825,5.0,-0.004244833797565661,1160000,497,9.76,145,1.6733719968795777,0.018931461004540323,15.0
443.93,1.2238337731361388,0.48223926895499014,0.809431694149971,5.0,-0.006838271406595595,1168000,498,9.69,146,1.6866491854190826,0.01883852978236973,15.0
448.99,1.171099025607109,0.5447864088244004,0.766432775259018,6.0,-0.009777326697221724,1176000,498,9.8,147,1.8058537077903747,0.022391648916527628,15.0
448.0,1.2067217433452606,0.44359785325644674,0.7932276713848114,6.0,-0.005786461641546339,1184000,498,9.82,148,1.6751857447624205,0.01876486123073846,15.0
457.31,1.1895594453811646,0.4853094768382078,0.7817188340425492,6.0,-0.007509169086042675,1192000,498,10.11,149,1.7023067903518676,0.019181806012056768,15.0
452.36,1.1522432947158814,0.47757346956103097,0.775932309627533,6.0,-0.004509005167637952,1200000,498,9.89,150,1.720583074092865,0.019798157433979214,15.0
464.93,1.1574446749687195,0.5163684193557679,0.7890101283788681,6.0,-0.003936693677969743,1208000,498,10.4,151,1.75124427318573,0.020229448024183513,15.0
488.57,1.1178366935253143,0.5558999108036798,0.7634594666957856,7.0,-0.01230753550567897,1216000,498,11.28,152,1.8527259469032287,0.022884845919907092,16.10000000000001
492.78,1.1601742541790008,0.4712240992396157,0.8029793959856033,7.0,-0.0054323270620079715,1224000,499,11.7,153,1.6635943800210953,0.018394069615751504,17.0
490.86,1.1907329559326172,0.5041930429739883,0.788751608133316,7.0,-0.00956999318965245,1232000,499,11.8,154,1.748448281288147,0.020419110553339125,17.10000000000001
487.92,1.1866783678531647,0.5098865564416927,0.7400158339738846,6.9,-0.003984417615624807,1240000,499,11.77,155,1.768317873477936,0.02159273630939424,17.10000000000001
487.86,1.168476254940033,0.537187544180082,0.819906221628189,6.0,-0.003703178431824199,1248000,499,11.74,156,1.7264156764745713,0.01965224896557629,17.10000000000001
489.51,1.161814819574356,0.48903975823483387,0.7990825283527374,6.0,-0.0019262678385712207,1256000,499,11.84,157,1.7084065115451812,0.01950522976927459,18.0
481.96,1.1802805006504058,0.502034408840963,0.7622333592176438,6.0,-0.003920891283050878,1264000,499,11.41,158,1.772696959376335,0.02111297255847603,17.0
488.53,1.1913443624973297,0.5176109264269653,0.7729894286394119,6.0,-0.002854685036581941,1272000,499,11.32,159,1.7735106801986695,0.02069078302476555,17.0
508.38,1.1767983758449554,0.5304025898857926,0.7618928176164627,7.0,-0.007658969351323322,1280000,499,11.91,160,1.831253188252449,0.022274353648535906,17.0
513.28,1.1633036756515502,0.5330496273519617,0.7705308657884598,7.0,-0.002098768732394092,1288000,500,12.24,161,1.8034756261110305,0.021524930382147433,18.0
