frames,policy_loss,episode_length,explained_variance,epoch_idx,advantage_norm,policy_entropy,grad_norm,PMM:episode_rewards,fps,value_loss,P01:episode_rewards,P09:episode_rewards
864000,-0.0029532163543626666,359.07,0.7942386037111282,108,1.6410428965091706,1.2345284974575044,0.46791012043534413,7.08,582,0.01789215324446559,2.9000000000000004,13.0
872000,-0.005633378119382542,373.16,0.8039472514390945,109,1.5650173228979112,1.1863665461540223,0.45485001931604285,7.62,582,0.016440708322916178,3.9000000000000004,13.100000000000009
880000,-0.003592149197065737,381.35,0.8355040371417999,110,1.4879227674007416,1.2060009133815766,0.44631439946643353,7.98,581,0.014976380886510014,3.9000000000000004,14.0
888000,-0.003058529257832561,384.69,0.8150885391235352,111,1.540185529589653,1.2118719613552094,0.4497385534429451,8.13,581,0.016184480506926776,3.0,14.0
896000,-0.0034788797431974674,381.16,0.7820958799123764,112,1.7452420198917389,1.197192678451538,0.5241104809895201,7.92,580,0.020293829343281687,3.0,14.0
904000,-0.0028726525232195856,389.77,0.7963957238197327,113,1.6815095949172973,1.2347719717025756,0.47026594559307233,8.3,580,0.01854582401458174,3.0,15.0
912000,-0.003708963480021339,393.74,0.8018475818634033,114,1.6442760956287383,1.2257855713367463,0.45577400253501965,8.21,579,0.017704046461731196,3.0,15.0
920000,-0.005168086494559247,401.37,0.8196075361967087,115,1.616154214143753,1.2428339397907258,0.4504940045125923,8.63,579,0.01752146188635379,3.9000000000000004,15.0
928000,-0.0038801077887183053,406.31,0.8087311333417893,116,1.6306878185272218,1.2358527624607085,0.4843819905187982,8.78,578,0.01748331419657916,4.0,15.0
936000,-0.0012169556973094587,405.14,0.8485345870256424,117,1.5003674685955048,1.229525693655014,0.4163399224758212,8.76,578,0.014717896087095141,4.0,14.100000000000009
944000,-0.0022521064270404167,409.43,0.8264716112613678,118,1.4935719114542008,1.2496612989902496,0.41165086892887226,8.92,577,0.014916335684247314,4.0,14.0
952000,-0.0036943284585140646,405.93,0.7916187536716461,119,1.573291340470314,1.2247149902582168,0.45895741728054545,8.97,577,0.01663225834723562,4.0,14.100000000000009
960000,-0.004952285545004998,392.96,0.812774527668953,120,1.6220070594549179,1.2161263239383697,0.4683354133305106,8.34,577,0.017440232350490987,4.0,14.0
968000,-0.0036709494768001603,396.66,0.7982196950912476,121,1.6311414378881455,1.212162697315216,0.46137179453439325,8.59,576,0.017661145767197014,4.0,14.0
976000,-0.007602776271523908,388.76,0.8096888071298599,122,1.5963008749485015,1.2282544243335725,0.4532906991344518,8.27,576,0.01690232887165621,4.0,13.0
984000,-0.005757529102120316,387.91,0.822062126994133,123,1.5819655501842498,1.2069244635105134,0.44317149577516474,8.18,575,0.016721214314457028,4.0,13.0
992000,-0.005017854530015029,400.97,0.8125704902410508,124,1.5721004515886308,1.2106129074096679,0.4376484446746138,8.71,575,0.016607232852838934,4.0,13.0
1000000,-0.0008871094771893695,410.6,0.7967193740606308,125,1.585881131887436,1.2147946786880492,0.4506044262904918,8.95,575,0.016502300938591362,4.0,13.0
1008000,-0.00447745913588733,408.97,0.7744744002819062,126,1.778113145828247,1.1884125876426697,0.5794000463685497,8.78,574,0.02131611755117774,4.0,13.0
1016000,-0.01161855884711258,422.2,0.7844296216964721,127,1.7955803817510605,1.190310961008072,0.5509273688332662,9.05,574,0.021136549497023226,4.0,13.0
1024000,-0.007099896945874207,439.79,0.7486120349168778,128,1.9079025328159331,1.1899191534519196,0.5582177446699689,9.95,574,0.024506276906467974,5.0,14.100000000000009
1032000,-0.008182774599408731,451.61,0.8101816743612289,129,1.6153300166130067,1.208647036552429,0.444831376060872,10.24,574,0.017330095143988727,5.0,15.0
1040000,-0.0017495596164371818,453.7,0.7836077922582626,130,1.6580844694375991,1.2032263553142548,0.4603422259158541,10.29,573,0.018217431739903988,5.0,15.0
1048000,-0.008085748151643202,457.8,0.7919958114624024,131,1.6874858725070954,1.1912046134471894,0.4643974956532357,10.49,573,0.018745180112309755,5.0,16.10000000000001
1056000,-0.005361032255459577,473.36,0.7695258408784866,132,1.7771692645549775,1.146399974822998,0.5477033915672569,11.13,573,0.021253705876879393,5.0,17.0
1064000,-0.008059192193322816,472.35,0.7240779739618302,133,2.049826354980469,1.1696150696277618,0.5886269232575453,11.35,573,0.02749969806522131,5.0,17.0
1072000,-0.007395481860585278,458.34,0.7620663851499557,134,1.7224079555273055,1.1730125033855439,0.48748368797895025,10.57,572,0.01929342229384929,4.0,17.0
1080000,-0.0043204763885660215,473.28,0.7827120155096055,135,1.798490601181984,1.1712487983703612,0.5417299767585689,10.8,572,0.021077720965258777,5.0,17.0
1088000,-0.006976871740189381,486.18,0.7569799214601517,136,1.7820001810789108,1.1967617642879487,0.5040075145476899,11.2,572,0.020846685217693447,6.0,17.0
1096000,-0.005875785404932685,490.95,0.7599024087190628,137,1.8903352415561676,1.144721857905388,0.55517040469098,11.4,571,0.02345377237536013,6.0,17.0
1104000,-0.008958299423102289,483.16,0.7590290850400925,138,1.8170135366916655,1.161201492547989,0.530256079166605,11.23,571,0.021717240042053162,5.9,17.10000000000001
1112000,-0.008539373723324388,484.42,0.732084304690361,139,1.918041132092476,1.1553298091888429,0.5749925450834655,11.6,571,0.024801078741438685,5.9,18.0
1120000,-0.006182616948499344,490.27,0.7676034051179886,140,1.6975578188896179,1.1494643330574035,0.5174782587956642,12.1,570,0.019081224729306998,6.0,18.10000000000001
