frames,approx_kl_divergence,explained_variance,P09:episode_rewards,policy_loss,PMM:episode_rewards,value_loss,clip_fraction,epoch_idx,policy_entropy,fps,P01:episode_rewards,episode_length,advantage_norm,grad_norm
1198080,0.0029369353722927373,-3.725290298461914e-09,427.5000000000002,-0.0019096009717031847,163.25,0.007492019800535843,0.258642578125,117,1.774929341673851,480,47.50000000000001,334.39,15.968714040517806,0.05349463411798402
1208320,0.0029386333253000885,-2.384185791015625e-08,277.5000000000002,-0.0018536742631113158,140.0,0.009228129904249727,0.2784423828125,118,1.762799295037985,480,50.0,326.38,15.968717437982558,0.05504011422898297
1218560,0.002703288953375704,7.82310962677002e-09,227.5000000000002,-0.001988506106863497,128.0,0.005960239762066522,0.26279296875,119,1.7586733348667623,480,25.0,324.77,15.96871525645256,0.04867616792614575
1228800,0.0022639518696252027,-1.1175870895385742e-08,227.5000000000002,-0.0012339144814177416,131.75,0.008337042646508053,0.2274658203125,120,1.7829931996762753,479,25.0,321.34,15.96871746778488,0.053687157502443995
1239040,0.002683111285728046,-1.899898052215576e-08,280.00000000000045,-0.001756869108066894,152.0,0.010384381958283484,0.252734375,121,1.7784628719091415,479,25.0,326.89,15.968717974424361,0.054181058565480965
1249280,0.002299543766696388,-8.940696716308593e-09,277.5000000000002,-0.0010822659725818085,161.25,0.009453353063145186,0.198779296875,122,1.7821340434253217,479,25.0,331.38,15.968717676401138,0.05342242623407847
1259520,0.0030537210968873294,-1.1175870895385742e-09,300.0,-0.0018098855616699439,166.5,0.00952495257715782,0.262060546875,123,1.775461483001709,478,25.0,339.93,15.968717813491821,0.05421164906281033
1269760,0.0034995982519603784,-2.0116567611694337e-08,300.0,-0.0018382396956440061,163.25,0.0075999723141194405,0.2764892578125,124,1.7820062175393105,478,0.0,340.0,15.968717157840729,0.053425263571203266
1280000,0.002128679714883219,-1.825392246246338e-08,300.0,-0.001674686090700561,166.75,0.010200312642109566,0.212744140625,125,1.7833793669939042,478,0.0,340.81,15.96871730685234,0.054826672028767065
1290240,0.002427548172042293,1.3783574104309083e-08,410.00000000000085,-0.0016907223387534031,181.0,0.009658359717923304,0.2367431640625,126,1.7639979116618634,477,0.0,342.16,15.968717676401138,0.05288042130690866
1300480,0.0023057297013210133,1.862645149230957e-09,502.5000000000002,-0.0016605629032710567,211.5,0.01118158821882389,0.21669921875,127,1.754723846912384,477,25.0,340.72,15.968717849254608,0.053768784315470865
1310720,0.0029699260288452932,-7.078051567077636e-09,527.5000000000002,-0.0014974210014770506,228.25,0.010086719021273893,0.2538818359375,128,1.766487780958414,476,50.0,343.51,15.968717741966248,0.056391280762822536
1320960,0.002416901997810328,-1.30385160446167e-08,502.5000000000002,-0.001267130694759544,223.0,0.009479683867903077,0.2156494140625,129,1.772309996187687,476,50.0,339.05,15.968715620040893,0.051853181885041066
1331200,0.002340836363302401,-7.450580596923828e-09,452.50000000000017,-0.0013213481259299442,194.5,0.008957211076204886,0.194384765625,130,1.767816686630249,475,50.0,336.0,15.968711531162262,0.05237957102033878
1341440,0.0023506452959964007,3.725290298461914e-09,405.00000000000045,-0.0016383155834773788,175.75,0.00813698150741402,0.2274658203125,131,1.7687691949307918,475,47.50000000000001,332.43,15.968717622756959,0.053377657372098666
1351680,0.002783692571154006,6.7055225372314455e-09,300.0,-0.0022195269317307974,163.75,0.009843697507449178,0.282470703125,132,1.7869376935064794,475,47.50000000000001,332.66,15.968717646598815,0.05327627953919676
1361920,0.0026058943291559443,-1.1175870895385742e-08,300.0,-0.0014614139818149852,160.5,0.007920220181921423,0.2259033203125,133,1.7764608047902584,475,25.0,330.74,15.968716901540756,0.05455555122510425
