epoch_idx,value_loss,P01:episode_rewards,advantage_norm,frames,episode_length,policy_loss,policy_entropy,fps,grad_norm,P09:episode_rewards,PMM:episode_rewards,explained_variance
132,0.0005501009249337585,0.0,0.20671849742531775,1056000,193.18,-4.914197261314257e-05,1.3852303767204284,474,0.02890556256909573,4.0,1.68,-0.41041273951530455
133,0.00061451319103071,0.0,0.20188178397715092,1064000,189.45,6.734047308782465e-05,1.3854814207553863,475,0.030105283423555132,4.0,1.58,-1.3993998432159425
134,0.0006908304722333014,0.0,0.22136725049465894,1072000,178.83,0.00021839941185305633,1.3857069170475007,475,0.03446430028200074,3.1000000000000085,1.26,-2.0977197283506395
135,0.000770305327191636,0.0,0.22369795266538858,1080000,181.43,-0.00016158782978891394,1.3844817852973939,475,0.03639339255590917,3.0,1.37,-2.094375025033951
136,0.00019252272097219247,0.0,0.11884250812232494,1088000,178.95,-3.4058670644299126e-05,1.3859731590747832,475,0.016349737838162598,3.0,1.33,-2.443690752387047
137,0.0005937727248601732,0.0,0.21857431013137102,1096000,178.17,2.274761296575889e-05,1.3857497942447663,475,0.03388144506749193,3.0,1.26,-0.7631200766563415
138,0.0005668413897728896,0.0,0.20347809141501785,1104000,180.59,1.0060091240120528e-05,1.3857328522205352,475,0.03403024379551198,2.1000000000000085,1.32,-6.318373102545738
139,0.0007088824810125516,0.0,0.2252798999287188,1112000,173.35,-4.347048728959635e-05,1.3858304190635682,475,0.03571402690034647,2.0,1.18,-0.6112079900503159
140,0.00044644248599524873,0.0,0.2046318989433348,1120000,179.0,-9.648513387219281e-05,1.3858159983158111,475,0.03159809835005993,3.0,1.34,-1.4521977376937867
141,0.0003864305456340844,0.0,0.16192482776939868,1128000,175.21,6.531019433168694e-05,1.3855590903759003,475,0.02733285338280622,3.0,1.19,-3.5526473397016525
142,0.0010243956966678525,0.0,0.28974985927343366,1136000,174.47,-0.0001568893890362233,1.3848794317245483,475,0.04772562156647203,3.0,1.14,-0.3360994374752045
143,0.0009271618983893859,0.0,0.2540157520398498,1144000,190.14,-4.85593900521053e-06,1.3856117558479308,475,0.037978989764483446,4.0,1.54,-1.3092210829257964
144,0.000871861441605688,0.0,0.2609828623384237,1152000,191.8,0.0003523904468420369,1.3857076907157897,475,0.03798633472148399,4.0,1.61,-1.2147399878501892
145,0.0007562155096002243,0.0,0.2404871297813952,1160000,183.6,3.699005656926602e-05,1.3854947984218597,475,0.037227181583065455,3.0,1.41,-3.661755819916725
146,0.0007283452109913924,0.0,0.22561896622180938,1168000,183.42,-0.0002752928150584921,1.3850771760940552,475,0.03459988558223037,3.1000000000000085,1.39,-1.1496580702066421
147,0.0006376279244477701,0.0,0.21516541700810193,1176000,187.19,0.00014581760769942774,1.385213384628296,475,0.030261833117815367,4.0,1.52,-1.4769778597354888
148,0.0008439052678886582,0.0,0.25616181127727033,1184000,189.82,-0.0003538598546947469,1.3853381502628326,476,0.0446771658195876,4.0,1.59,-0.8753561627864838
149,0.0007439333759157307,0.0,0.24123770006000997,1192000,189.78,0.00010226588559817174,1.3843234336376191,476,0.033855553908496046,4.0,1.56,-1.5377662944793702
150,0.0005768530429168095,0.0,0.19025790724903346,1200000,181.18,0.0005913521555703482,1.3852085053920746,476,0.028203557495118926,3.0,1.34,-2.5993272536993026
151,0.0007199464907080255,0.0,0.22550153087824584,1208000,181.38,-0.0005382926990569103,1.384879457950592,476,0.03389072836780712,3.0,1.37,-1.1321883141994475
152,0.00038978899667654334,0.0,0.17537023052573203,1216000,180.54,-9.443289864066173e-06,1.3854566097259522,476,0.027415031552299095,3.0,1.32,-2.266744012236595
153,0.0007800524898266304,0.0,0.21853783328086138,1224000,182.28,1.660790406731394e-05,1.3858474504947662,476,0.03175789740219512,3.1000000000000085,1.41,-2.0437581092119217
154,0.0004602018157447674,0.0,0.181099112033844,1232000,177.05,1.071884020404923e-06,1.3855993485450744,476,0.028274678758037748,3.0,1.29,-2.2829762226343155
155,0.000549691188775796,0.0,0.19793158685788512,1240000,174.13,-4.0028368853199934e-05,1.3852865827083587,476,0.028264893153201062,3.0,1.17,-3.680323603749275
156,0.0005441127171070548,0.0,0.2097016929835081,1248000,180.97,-6.538846355397254e-06,1.3851722705364227,476,0.028927144755781554,4.0,1.34,-1.5388266730308533
157,0.0005965769732392801,0.0,0.1841910463385284,1256000,181.89,-0.0003878246822114306,1.3839281976222992,476,0.033691486713897,4.0,1.38,-1.7687589311599732
158,0.0010473477772688965,0.0,0.2555652532726526,1264000,188.77,-0.0005550122903423471,1.3846332705020905,477,0.044076561009040144,4.0,1.58,-3.3837390905618667
159,0.000506034209909103,0.0,0.2075479262135923,1272000,191.02,0.00020016408165247413,1.3855143666267395,477,0.029810939690709623,4.0,1.67,-4.075858527421952
160,0.0009212667944825625,0.0,0.2577907995507121,1280000,182.58,7.738090853308677e-05,1.3846592378616334,477,0.03999993277967114,3.1000000000000085,1.48,-2.2273430812358854
161,0.0006293183411503378,0.0,0.2066862242296338,1288000,186.81,6.602721787203336e-05,1.3845847606658936,477,0.02819068161633779,3.1000000000000085,1.55,-1.434229439496994
162,0.0002593842488806786,0.0,0.14061078607104718,1296000,196.26,-0.00010714091538829962,1.3855656468868256,477,0.022973354289462768,4.0,1.7,-1.7260909175872803
