fps,episode_length,value_loss,epoch_idx,grad_norm,policy_loss,frames,advantage_norm,PMM:episode_rewards,P01:episode_rewards,P09:episode_rewards,policy_entropy,explained_variance
498,175.12,0.000673864586669879,115,0.036033197759556164,-0.0003290075155746308,920000,0.22950443971902132,1.2,0.0,3.0,1.3852699267864228,-1.2595554721355438
498,182.45,0.000403344671767627,116,0.03223532755981327,0.00025218698043318,928000,0.2021179375424981,1.36,0.0,4.0,1.385343998670578,-2.8396874928474425
498,177.35,0.0006785203134040785,117,0.04170494980989125,1.696931882179342e-05,936000,0.23071984792128206,1.28,0.0,4.0,1.3850239109992981,-1.8310548436641694
499,179.3,0.001021415850646008,118,0.046971781578088366,2.7575566491577775e-06,944000,0.2932478580251336,1.33,0.0,4.0,1.3852562522888183,-1.6867446190118789
499,183.84,0.000525456091218075,119,0.02948625253740609,-0.00020943731884472073,952000,0.20288632333278656,1.39,0.0,3.0,1.3851951014995576,-0.7655538773536682
499,186.61,0.0009295201622626336,120,0.04327327017542048,0.00030557148023945045,960000,0.2779502535238862,1.5,0.0,4.0,1.384416378736496,-0.3729146498441696
499,193.99,0.0012124128622599528,121,0.051615149529488626,-0.0001939165877411142,968000,0.3157175606116652,1.77,0.0,4.1000000000000085,1.3850709474086762,-1.037084003686905
499,201.36,0.0012558421843095857,122,0.050149010641522995,-0.0002124179888778599,976000,0.3125380321592093,1.94,0.0,5.0,1.3850593841075898,-0.44508740603923796
499,185.46,0.00034396576543713306,123,0.02428209744185514,0.00035843891691001773,984000,0.16784994069486855,1.5,0.0,3.1000000000000085,1.3855203926563262,-3.9615365833044054
500,186.23,0.001021982463216773,124,0.04661485106445622,2.7858378671226093e-05,992000,0.30081004444509746,1.48,0.0,3.0,1.3807995927333832,-0.9459649008512497
500,192.28,0.0013479185906453495,125,0.05029545960592649,-3.6895846192237515e-05,1000000,0.33540857963263987,1.66,0.0,4.0,1.3828776502609252,-1.164998687505722
500,180.07,0.00036562738730026466,126,0.022848546905707007,-0.0003285424026398687,1008000,0.15864594899117945,1.36,0.0,3.1000000000000085,1.3851185071468353,-1.363264792561531
500,182.54,0.0009940285801803839,127,0.04722479016174718,-0.00012151542359788437,1016000,0.28364042649045584,1.41,0.0,4.0,1.3830707895755767,-0.22420015394687653
500,193.46,0.0007245053920632927,128,0.03730399052738822,-8.460217719402863e-05,1024000,0.24102902304381132,1.69,0.0,4.1000000000000085,1.3850528633594512,-1.4075436174869538
501,203.76,0.0011302454985161602,129,0.05136650760424952,0.00014549847575835882,1032000,0.30493638701736925,1.95,0.0,5.0,1.383998178243637,-1.5020044255256653
501,196.07,0.0010533485486348582,130,0.04266427793295374,9.440726193133741e-05,1040000,0.28871737033128736,1.72,0.0,4.0,1.3852679753303527,-1.3583438223600388
501,190.68,0.0008262147677760368,131,0.04070392230433639,-1.3509489108400884e-05,1048000,0.25889967773109673,1.59,0.0,4.0,1.3853984296321868,-0.6062589943408966
501,177.42,0.0005256109482070315,132,0.029224930081003256,1.2508849176811054e-05,1056000,0.19685638334602118,1.26,0.0,3.0,1.385739835500717,-4.046256178617478
501,176.91,0.0006758459898446744,133,0.03716237830162774,-4.454502457519993e-05,1064000,0.2276280241832137,1.25,0.0,3.0,1.3857239484786987,-3.2741105633974077
501,178.55,0.0006346124686660914,134,0.0358453801970361,0.0002952970081241801,1072000,0.22343124870210887,1.28,0.0,3.0,1.3844519126415253,-2.2771008270978927
501,193.79,0.0012224357690683973,135,0.05073317623712053,3.070851817028597e-05,1080000,0.31131386168301106,1.71,0.0,4.0,1.3841941690444945,-0.5509250473976135
502,196.63,0.0005973197857838386,136,0.029757830130242722,-8.755639519222313e-05,1088000,0.20596858650445937,1.8,0.0,4.0,1.3854592740535736,-1.1626477855443955
502,196.14,0.0005486746895257966,137,0.031182421731810992,1.652427796216216e-05,1096000,0.20762547567486764,1.81,0.0,3.1000000000000085,1.3851561796665193,-1.9691060972213745
502,186.91,0.0007604332632126897,138,0.04384024477239678,-8.470957231111242e-05,1104000,0.2519988189265132,1.49,0.0,4.0,1.3851595282554627,-1.291701300740242
502,190.14,0.0007772636645313469,139,0.039098116288629185,-1.0662888525985181e-05,1112000,0.24157956765964628,1.54,0.0,4.0,1.3855178427696229,-0.4535930240154266
502,189.22,0.0004502138821317203,140,0.029683970314428536,-1.7232201735168928e-05,1120000,0.20036001764237882,1.54,0.0,4.0,1.3855482673645019,-0.9105418264865875
502,187.43,0.0007296542225776648,141,0.038411438990016256,0.0002117647628301711,1128000,0.25045885898172854,1.49,0.0,3.0,1.3854897224903107,-1.2376738214492797
502,186.68,0.0005498534099024255,142,0.034391719623375006,-0.00017937838994839695,1136000,0.2230930045992136,1.49,0.0,3.0,1.3851103484630585,-0.21448245227336885
502,183.13,0.0005597094141558045,143,0.03727549164952942,0.00022954229049901187,1144000,0.2146035770326853,1.41,0.0,4.0,1.382438179254532,-0.572674709558487
502,177.09,0.0009615765525040843,144,0.04374966934780151,-0.0004127926830187789,1152000,0.27630440052598715,1.29,0.0,3.1000000000000085,1.3796455597877502,-60.702302863001826
502,171.57,0.0006040340123718124,145,0.03437720348748056,-0.00032038041799751225,1160000,0.22294442012906074,1.16,0.0,3.0,1.3838024127483368,-1.2510511678457261
502,169.86,0.0002196454318436736,146,0.018407070185562407,0.00014867240512103308,1168000,0.12617117127403618,1.05,0.0,2.0,1.385260249376297,-2.1509684842824934
